treeid,spnum,spname,spcode,site,aspect,sitequal,timbersale,dominance,baselinestandBA,baselineinddbh,tension,year,month,growth,rain,temp,olddbh,oldBA,newdbh,newBA,mardbh,marba
30,129,White Pine,PIST,C03x,N,3,Y,C,60,12.2,na,2015,sep,NA,NA,NA,12.2,116.8985639,NA,NA,NA,NA
31,261,Eastern Hemlock,TSCA,C03x,N,3,Y,I,70,8,na,2015,sep,NA,NA,NA,8,50.26544,NA,NA,NA,NA
32,802,White Oak,QUAL,C03x,N,2,Y,C,140,11.7,na,2015,sep,NA,NA,NA,11.7,107.5130638,NA,NA,NA,NA
1,621,Tulip Poplar,LITU,B10B,S,2,Y,C,100,12.3,lo,2015,oct,NA,6.27,74.6375,12.3,118.8227878,NA,NA,NA,NA
2,621,Tulip Poplar,LITU,B10B,S,3,N,C,200,9.1,lo,2015,oct,NA,6.27,74.6375,14.6,167.4153311,NA,NA,NA,NA
3,832,Chestnut Oak,QUMO,B10B,S,3,Y,C,70,10.3,lo,2015,oct,0.5,4.765,72.72727273,11.3,100.2874068,11.8,109.3587479,0.5,9.071341125
4,832,Chestnut Oak,QUMO,B10B,S,3,N,D,140,12.2,lo,2015,oct,0,4.765,72.72727273,13.2,136.8476604,13.2,136.8476604,0,0
5,621,Tulip Poplar,LITU,B10B,S,2,N,D,120,21.1,hi,2015,oct,NA,NA,NA,30.1,711.577989,NA,NA,NA,NA
6,621,Tulip Poplar,LITU,B10B,S,2,Y,D,60,19.5,lo,2015,oct,0,6.27,74.6375,27,572.5547775,27,572.5547775,0,0
7,833,Red Oak,QURU,B10B,S,1,Y,C,80,9.4,lo,2015,oct,1,6.27,74.6375,15.9,198.556342,16.9,224.31738,1,25.761038
8,833,Red Oak,QURU,B10B,S,1,Y,D,80,25.5,hi,2015,oct,2,6.27,74.6375,29,660.5192975,31,754.7669975,2,94.2477
9,409,Mockernut Hickory,CATO,B10B,S,1,Y,C,90,10,lo,2015,oct,0,6.27,74.6375,11.5,103.8688194,11.5,103.8688194,0,0
10,833,Red Oak,QURU,B10B,S,1,N,D,140,23.4,hi,2015,oct,NA,NA,NA,23.4,430.0522551,NA,NA,NA,NA
11,833,Red Oak,QURU,B10B,S,1,N,C,150,9.3,lo,2015,oct,1,6.27,74.6375,11.3,100.2874068,12.3,118.8227878,1,18.535381
12,409,Mockernut Hickory,CATO,B10B,S,1,N,C,110,11.6,lo,2015,oct,0,6.27,74.6375,16.6,216.4241351,16.6,216.4241351,0,0
13,802,White Oak,QUAL,B06B,N,1,Y,C,70,14.5,lo,2015,oct,0,4.765,72.72727273,14.5,165.1298244,14.5,165.1298244,0,0
